when,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,dist,cue,cuePos,trialNum,subj,phase,bias,sex,hand,age,acc,err
667849,Right,6,Right,932,-1,1,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
676310,Left,2,Left,664,-46,-41,Sound_1,Incongruent,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
686404,Right,5,Right,565,45,42,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
695998,Right,3,Right,565,-39,-37,None,Incongruent,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
705825,Left,2,Left,865,50,43,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
715186,Right,6,Right,531,-45,-42,Sound_1,Congruent,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
724714,Right,7,Right,832,49,46,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
734042,Right,8,Right,631,-48,-47,None,None,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
741637,Right,2,Right,499,0,3,None,Congruent,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
749299,Left,4,Left,600,47,46,Sound_1,Incongruent,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
756928,Right,3,Right,833,-5,-6,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
764224,Left,4,Left,798,-48,-36,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
771719,Right,7,Right,765,-4,1,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
778981,Right,7,Right,566,44,40,None,None,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
788509,Left,2,None,1001,-42,-35,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,0,1
797636,Left,8,Left,804,50,49,None,Incongruent,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
807430,Right,4,Right,732,-45,-40,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
818890,Left,2,Left,798,34,29,Sound_1,None,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
826752,Left,8,Left,799,-3,-9,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
834048,Right,7,Right,966,-58,-43,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
843544,Left,1,Left,631,3,-1,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
851505,Left,4,Left,931,-56,-53,None,None,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
859467,Left,3,Left,731,2,-5,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
867195,Right,1,Right,564,-54,-52,Sound_1,None,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
874857,Right,6,Right,697,-6,-1,Sound_1,Incongruent,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
882552,Right,4,Right,565,-50,-48,None,Congruent,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
892112,Right,6,Right,599,55,46,None,Congruent,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
899675,Left,8,Left,699,-5,-6,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
907369,Right,4,Right,565,-43,-43,Sound_1,None,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
916931,Right,2,Right,867,45,41,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
925292,Left,5,Left,866,-3,0,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
932654,Right,1,Right,732,47,47,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
942381,Left,3,Left,930,-46,-39,Sound_1,None,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
950276,Left,3,Left,698,0,-2,Sound_1,Incongruent,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
957971,Right,1,Right,565,46,45,Sound_1,Incongruent,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
965534,Right,1,Right,531,-2,-2,Sound_1,Congruent,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
973063,Right,3,Right,665,-50,-49,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
982224,Right,8,Right,698,51,51,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
991918,Left,2,Left,899,-47,-40,None,Congruent,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1002944,Right,3,Right,700,56,52,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1010074,Left,1,Left,867,-2,1,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1017436,Left,1,Left,799,51,42,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1025264,Right,4,Right,598,-7,-7,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1032860,Left,7,Left,798,55,52,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1041920,Right,4,Right,732,-1,1,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1049149,Right,2,Right,631,-50,-49,Sound_1,Incongruent,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1056779,Left,4,Left,564,3,2,Sound_1,None,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1064341,Right,1,Right,499,49,51,None,None,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1073802,Right,2,Right,601,-50,-51,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1083397,Left,8,Left,630,50,51,Sound_1,None,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1091192,Right,8,Right,465,-4,-4,Sound_1,None,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1098654,Right,8,Right,699,44,44,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1105849,Left,4,Left,699,-5,-3,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1114011,Right,4,Right,732,-53,-51,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1123741,Left,6,Left,834,48,46,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1131568,Left,1,Left,799,-7,-7,None,Incongruent,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1139364,Left,2,Left,969,-50,-45,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1147594,Right,8,Right,697,-3,-3,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1155255,Left,6,Left,898,-50,-49,None,Incongruent,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1165516,Right,2,Right,698,51,48,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1175409,Left,7,Left,764,-50,-48,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1184701,Left,5,Left,764,33,35,Sound_1,None,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1192429,Right,5,Right,899,-1,-4,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1199792,Left,1,Left,732,-51,-54,None,None,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1207653,Left,2,Left,999,0,3,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1215116,Left,7,None,1001,34,34,Sound_1,Incongruent,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,0,1
1222412,Left,7,Left,765,-4,0,None,Incongruent,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1230175,Right,6,Right,566,48,45,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1241768,Left,3,Left,698,-51,-52,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1248963,Right,3,Right,564,3,0,Sound_1,Incongruent,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1256526,Left,8,Left,599,-42,-44,None,Congruent,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1264421,Left,6,Left,732,-3,-4,Sound_1,Incongruent,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1272117,Left,8,Left,765,54,51,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1279846,Right,8,Right,698,-11,-9,None,Congruent,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1287542,Left,1,Left,865,46,43,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1296901,Right,8,Right,698,-41,-41,Sound_1,Incongruent,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1304796,Right,5,Right,665,0,0,None,Congruent,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1313124,Right,2,Right,568,42,45,None,Incongruent,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1327449,Right,7,Right,865,-46,-30,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1337309,Left,4,Left,832,46,46,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1345438,Left,8,Left,697,-3,0,Sound_1,Congruent,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1353133,Right,8,Right,869,51,49,None,Incongruent,y,8,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1363227,Left,7,Left,631,-36,-32,Sound_1,Congruent,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1370889,Right,1,Right,566,6,7,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1378518,Right,7,Right,697,-33,-27,Sound_1,None,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1390312,Left,3,Left,866,5,6,None,Congruent,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1398142,Right,7,Right,598,52,54,Sound_1,Incongruent,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1405872,Right,1,Right,765,-7,-3,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1413133,Left,3,Left,599,-40,-34,None,Incongruent,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1420695,Left,4,Left,899,8,4,None,Incongruent,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1428559,Left,7,Left,831,-35,-32,None,None,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1438419,Left,8,Left,800,39,34,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1445715,Right,7,Right,598,-3,-1,None,Incongruent,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1453310,Left,5,Left,665,-41,-35,Sound_1,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1461039,Right,6,Right,565,7,6,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1470335,Right,3,Right,430,46,46,Sound_1,None,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1477863,Right,4,Right,566,-5,2,None,Incongruent,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1485526,Left,6,Left,699,-37,-35,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1495254,Left,6,Left,965,41,36,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1504681,Right,7,Right,568,-36,-35,None,Congruent,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1514909,Right,6,Right,964,44,41,Sound_1,None,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1526268,Right,4,Right,532,2,4,Sound_1,Congruent,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1534997,Left,6,Left,532,47,47,None,None,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1544492,Right,8,Right,835,-42,-40,None,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1551820,Right,7,Right,665,7,8,Sound_1,Congruent,y,7,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1559449,Right,3,Right,699,53,55,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1567745,Right,6,Right,565,-8,-1,None,None,y,6,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1576473,Right,4,Right,533,46,46,Sound_1,Incongruent,y,4,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1586001,Left,5,Left,564,-40,-39,Sound_1,Incongruent,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1593563,Left,5,Left,665,8,9,Sound_1,Congruent,y,5,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1601226,Left,7,None,1001,-51,-46,Sound_1,Incongruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,0,1
1610620,Left,3,Left,635,43,43,None,None,y,3,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1619182,Right,1,Right,532,-2,1,None,Incongruent,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1626712,Right,5,Right,699,46,47,None,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1635906,Right,1,Right,635,-40,-39,None,None,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1645000,Left,1,Left,665,41,41,Sound_1,Incongruent,y,1,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1652662,Left,2,Left,666,-6,-1,Sound_1,Congruent,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1660291,Right,5,Right,599,-41,-38,Sound_1,Congruent,n,NA,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
1669885,Left,2,Left,799,50,48,None,Incongruent,y,2,1,ACC_1-1,experiment,acc,Female,Right,21,1,0
2231,Left,4,None,1001,-2,-2,None,None,n,NA,1,ACC_4-1,practice,acc,Female,Right,21,0,1
9843,Left,7,Left,932,-36,-32,None,Congruent,n,NA,1,ACC_4-1,practice,acc,Female,Right,21,1,0
19304,Right,1,Right,632,46,0,Sound_1,Congruent,n,NA,1,ACC_4-1,practice,acc,Female,Right,21,1,0
30263,Right,7,Right,566,6,5,Sound_1,None,n,NA,1,ACC_4-1,practice,acc,Female,Right,21,1,0
37825,Right,1,None,1001,34,40,None,Incongruent,n,NA,1,ACC_4-1,practice,acc,Female,Right,21,0,1
