subj,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,flanker,cue,cuePos,trialNum,phase,bias,sex,hand,age,acc,err
RT_9-1,Right,3,Right,832,-39,-33,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,699,34,34,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,498,-2,0,Sound_1,Congruent,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,466,-45,-45,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,465,-3,0,Sound_1,Congruent,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,599,-38,-37,None,None,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,532,40,45,Sound_1,None,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,499,-2,0,None,Congruent,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,3,Left,566,-47,-46,None,Incongruent,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,699,0,-3,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,532,35,33,None,Incongruent,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Left,497,-3,-4,Sound_1,Congruent,y,7,1,experiment,rt,Male,Right,21,0,1
RT_9-1,Right,2,Right,532,37,37,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,498,-3,-4,Sound_1,Congruent,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,932,42,40,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Right,532,-1,-1,Sound_1,Congruent,y,8,1,experiment,rt,Male,Right,21,0,1
RT_9-1,Left,5,Left,665,-32,-35,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,498,0,-2,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,598,35,36,Sound_1,Incongruent,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,598,-32,-33,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,668,38,34,None,Incongruent,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,698,-45,-41,Sound_1,Congruent,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,666,0,0,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,532,43,39,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,531,-2,0,Sound_1,None,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,732,34,32,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,531,2,0,Sound_1,Incongruent,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,567,-43,-29,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,7,Right,566,3,-1,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,6,Left,699,37,32,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,566,-1,1,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,599,47,44,None,Incongruent,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,498,-34,-33,Sound_1,Incongruent,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,799,38,33,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,668,-30,-41,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,733,4,0,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,1,Left,598,45,41,Sound_1,Incongruent,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,1,Left,531,-3,0,Sound_1,None,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,599,30,46,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,665,-37,-38,Sound_1,Incongruent,y,8,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,565,35,34,Sound_1,None,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,632,-33,-31,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,8,Left,833,33,33,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,565,-7,0,None,Incongruent,y,4,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,732,35,33,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,732,0,1,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,599,34,32,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
